 # Job title:           IND_PVPK12
 #
 #                                                         User-defined k_ij(s) = See input file                                     Optimized k_ij(s) =   0.118973+4933  0.118973+4933
 #------------------------------------------------         -------------------------------------------------------------------       -------------------------------------------------------------------
 #T/K            w1_exp               w1_id                w1_calc              ln_g1                rho/(mol/cc)      Stable?       w1_calc               ln_g1               rho/(mol/cc)      Stable?
  250.00           n/a                0.123878E-02         0.375190             -4.54317             0.208902E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  252.00           n/a                0.129708E-02         0.375035             -4.49741             0.208416E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  254.00           n/a                0.135888E-02         0.374967             -4.45117             0.207965E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  256.00           n/a                0.142439E-02         0.374987             -4.40449             0.207546E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  258.00           n/a                0.149383E-02         0.375093             -4.35739             0.207160E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  260.00           n/a                0.156743E-02         0.375285             -4.30990             0.206806E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  262.00           n/a                0.164542E-02         0.375561             -4.26203             0.206484E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  264.00           n/a                0.172806E-02         0.375922             -4.21380             0.206192E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  266.00           n/a                0.181564E-02         0.376368             -4.16525             0.205931E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  268.00           n/a                0.190843E-02         0.376896             -4.11639             0.205700E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  270.00           n/a                0.200674E-02         0.377508             -4.06724             0.205499E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  272.00           n/a                0.211090E-02         0.378203             -4.01781             0.205326E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  274.00           n/a                0.222126E-02         0.378980             -3.96813             0.205183E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  276.00           n/a                0.233817E-02         0.379839             -3.91822             0.205068E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  278.00           n/a                0.246204E-02         0.380779             -3.86809             0.204981E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  280.00           n/a                0.259328E-02         0.381802             -3.81775             0.204921E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  282.00           n/a                0.273231E-02         0.382905             -3.76722             0.204889E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  284.00           n/a                0.287962E-02         0.384090             -3.71651             0.204884E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  286.00           n/a                0.303568E-02         0.385356             -3.66565             0.204906E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  288.00           n/a                0.320104E-02         0.386703             -3.61463             0.204954E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  290.00           n/a                0.337624E-02         0.388132             -3.56349             0.205028E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  292.00           n/a                0.356188E-02         0.389641             -3.51222             0.205129E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  294.00           n/a                0.375859E-02         0.391232             -3.46083             0.205255E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
