 # Job title:           NPX_PVPVAc64
 #
 #                                                         User-defined k_ij(s) = See input file                                     Optimized k_ij(s) =   0.118973+4933  0.118973+4933
 #------------------------------------------------         -------------------------------------------------------------------       -------------------------------------------------------------------
 #T/K            w1_exp               w1_id                w1_calc              ln_g1                rho/(mol/cc)      Stable?       w1_calc               ln_g1               rho/(mol/cc)      Stable?
  300.00           n/a                0.175995E-03         0.337245             -3.04367             0.213503E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  302.00           n/a                0.185886E-03         0.339607             -2.99171             0.214557E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  304.00           n/a                0.196328E-03         0.342053             -2.93992             0.215655E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  306.00           n/a                0.207353E-03         0.344582             -2.88829             0.216798E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  308.00           n/a                0.218995E-03         0.347195             -2.83683             0.217985E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  310.00           n/a                0.231290E-03         0.349893             -2.78554             0.219216E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  312.00           n/a                0.244278E-03         0.352677             -2.73441             0.220492E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  314.00           n/a                0.257998E-03         0.355546             -2.68344             0.221811E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  316.00           n/a                0.272496E-03         0.358503             -2.63265             0.223175E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  318.00           n/a                0.287820E-03         0.361548             -2.58202             0.224583E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  320.00           n/a                0.304019E-03         0.364682             -2.53155             0.226036E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  322.00           n/a                0.321148E-03         0.367907             -2.48125             0.227533E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  324.00           n/a                0.339267E-03         0.371223             -2.43111             0.229075E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  326.00           n/a                0.358437E-03         0.374632             -2.38114             0.230662E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  328.00           n/a                0.378728E-03         0.378136             -2.33134             0.232294E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  330.00           n/a                0.400211E-03         0.381736             -2.28170             0.233972E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  332.00           n/a                0.422968E-03         0.385434             -2.23222             0.235695E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  334.00           n/a                0.447082E-03         0.389232             -2.18290             0.237466E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  336.00           n/a                0.472648E-03         0.393132             -2.13375             0.239283E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  338.00           n/a                0.499766E-03         0.397137             -2.08476             0.241148E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  340.00           n/a                0.528545E-03         0.401249             -2.03593             0.243061E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  342.00           n/a                0.559107E-03         0.405469             -1.98727             0.245024E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  344.00           n/a                0.591580E-03         0.409802             -1.93877             0.247036E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  346.00           n/a                0.626108E-03         0.414250             -1.89042             0.249098E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  348.00           n/a                0.662848E-03         0.418816             -1.84224             0.251213E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  350.00           n/a                0.701971E-03         0.423505             -1.79422             0.253380E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  352.00           n/a                0.743668E-03         0.428318             -1.74636             0.255600E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  354.00           n/a                0.788148E-03         0.433261             -1.69865             0.257876E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  356.00           n/a                0.835642E-03         0.438338             -1.65110             0.260208E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  358.00           n/a                0.886408E-03         0.443553             -1.60372             0.262597E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  360.00           n/a                0.940732E-03         0.448912             -1.55649             0.265046E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  362.00           n/a                0.998935E-03         0.454419             -1.50941             0.267556E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  364.00           n/a                0.106137E-02         0.460081             -1.46249             0.270129E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  366.00           n/a                0.112845E-02         0.465904             -1.41573             0.272766E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  368.00           n/a                0.120062E-02         0.471895             -1.36912             0.275471E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  370.00           n/a                0.127840E-02         0.478061             -1.32267             0.278245E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  372.00           n/a                0.136237E-02         0.484410             -1.27637             0.281091E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  374.00           n/a                0.145321E-02         0.490952             -1.23022             0.284013E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  376.00           n/a                0.155167E-02         0.497695             -1.18423             0.287012E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  378.00           n/a                0.165864E-02         0.504651             -1.13839             0.290093E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  380.00           n/a                0.177515E-02         0.511832             -1.09270             0.293260E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
  382.00           n/a                0.190239E-02         0.519250             -1.04716             0.296516E-02      T           -0.124802+1065       -0.124802+1065       -0.124802+1065      T
