 # Job title:           IBU_HPMCAS
 #
 # User-defined k_ij(s) = See input file
 #
 #T/K            w_API (phase I)          w_API (phase II)         Error spinodal?          Error LLE?
 220.00          0.3466588172E-02          1.000000000             F                        F
 240.00          0.7580635901E-02          1.000000000             F                        F
 260.00          0.1481962584E-01          1.000000000             F                        F
 280.00          0.2640447665E-01          1.000000000             F                        F
 300.00          0.4355851901E-01          1.000000000             F                        F
 320.00          0.6722837986E-01          1.000000000             F                        F
 340.00          0.9769586134E-01          1.000000000             F                        F
 360.00          0.1342426643              1.000000000             F                        F
 380.00          0.1751346041              1.000000000             F                        F




 # Optimized k_ij(s) =        -0.300000E-01         0.00000    
 #
 #T/K            w_API (phase I)          w_API (phase II)         Error spinodal?          Error LLE?
 220.00          0.4537902126              1.000000000             F                        F
 240.00          0.5295433777              1.000000000             F                        F
 260.00          0.5934651703              1.000000000             F                        F
 280.00          0.6473434394              1.000000000             F                        F
 300.00          0.6921498853              1.000000000             F                        F
 320.00          0.7287440714              1.000000000             F                        F
 340.00          0.7580257839              1.000000000             F                        F
 360.00          0.7809083162              1.000000000             F                        F
 380.00          0.7982522830              1.000000000             F                        F
