 # Job title:           IBU_HPMCAS
 #
 #                                                         User-defined k_ij(s) = See input file                                     Optimized k_ij(s) =   -0.300000E-01    0.00000    
 #------------------------------------------------         -------------------------------------------------------------------       -------------------------------------------------------------------
 #T/K            w1_exp               w1_id                w1_calc              ln_g1                rho/(mol/cc)      Stable?       w1_calc               ln_g1               rho/(mol/cc)      Stable?
  220.00           n/a                0.248076E-04         0.474444E-04        -0.635532             0.123018E-04      T             0.151680E-01         -4.14692             0.116692E-03      T
  222.00           n/a                0.269340E-04         0.557837E-04        -0.711733             0.123177E-04      T             0.164430E-01         -4.07384             0.125008E-03      T
  224.00           n/a                0.292313E-04         0.654690E-04        -0.785858             0.123441E-04      T             0.178206E-01         -4.00066             0.133970E-03      T
  226.00           n/a                0.317124E-04         0.766950E-04        -0.857805             0.123820E-04      T             0.193060E-01         -3.92741             0.143604E-03      T
  228.00           n/a                0.343911E-04         0.896812E-04        -0.927471             0.124327E-04      T             0.209041E-01         -3.85413             0.153938E-03      T
  230.00           n/a                0.372823E-04         0.104674E-03        -0.994747             0.124978E-04      T             0.226202E-01         -3.78084             0.164997E-03      T
  232.00           n/a                0.404018E-04         0.121952E-03         -1.05952             0.125790E-04      T             0.244593E-01         -3.70759             0.176808E-03      T
  234.00           n/a                0.437669E-04         0.141825E-03         -1.12168             0.126781E-04      T             0.264267E-01         -3.63440             0.189396E-03      T
  236.00           n/a                0.473957E-04         0.164642E-03         -1.18108             0.127973E-04      T             0.285274E-01         -3.56132             0.202785E-03      T
  238.00           n/a                0.513081E-04         0.190791E-03         -1.23762             0.129392E-04      T             0.307664E-01         -3.48836             0.216999E-03      T
  240.00           n/a                0.555254E-04         0.220708E-03         -1.29114             0.131063E-04      T             0.331486E-01         -3.41556             0.232059E-03      T
  242.00           n/a                0.600704E-04         0.254875E-03         -1.34152             0.133016E-04      T             0.356788E-01         -3.34295             0.247985E-03      T
  244.00           n/a                0.649678E-04         0.293831E-03         -1.38861             0.135287E-04      T             0.383617E-01         -3.27054             0.264798E-03      T
