 # Job title:           IBU_PLGA75
 #
 # User-defined k_ij(s) = See input file
 #
 #T/K            w_API (phase I)          w_API (phase II)         Error spinodal?          Error LLE?
 250.00            n/a                      n/a                    T                        T
 260.00            n/a                      n/a                    T                        T
 270.00            n/a                      n/a                    T                        T
 280.00            n/a                      n/a                    T                        T
 290.00            n/a                      n/a                    T                        T
 300.00            n/a                      n/a                    T                        T
 310.00            n/a                      n/a                    T                        T
 320.00            n/a                      n/a                    T                        T
 330.00            n/a                      n/a                    T                        T
 340.00            n/a                      n/a                    T                        T
 350.00            n/a                      n/a                    T                        T
 360.00            n/a                      n/a                    T                        T
 370.00            n/a                      n/a                    T                        T




 # Optimized k_ij(s) =         0.300000E-01        0.420000E-01
 #
 #T/K            w_API (phase I)          w_API (phase II)         Error spinodal?          Error LLE?
 250.00          0.5691851660E-01         0.9999999951             F                        F
 260.00          0.7494717213E-01         0.9999999299             F                        F
 270.00          0.9763085404E-01         0.9999992539             F                        F
 280.00          0.1261307563             0.9999940479             F                        F
 290.00          0.1619401366             0.9999641213             F                        F
 300.00          0.2069161198             0.9998348549             F                        F
 310.00          0.2631105400             0.9994106491             F                        F
 320.00          0.3319613376             0.9982910718             F                        F
 330.00          0.4122437499             0.9961206427             F                        F
 340.00          0.4979588053             0.9923914125             F                        F
 350.00          0.5807854567             0.9867147705             F                        F
 360.00          0.6561317473             0.9784946380             F                        F
 370.00          0.7248312376             0.9664135017             F                        F
