 # Job title:           IBU_PLGA75
 #
 #                                                         User-defined k_ij(s) = See input file                                     Optimized k_ij(s) =    0.300000E-01   0.420000E-01
 #------------------------------------------------         -------------------------------------------------------------------       -------------------------------------------------------------------
 #T/K            w1_exp               w1_id                w1_calc              ln_g1                rho/(mol/cc)      Stable?       w1_calc               ln_g1               rho/(mol/cc)      Stable?
  250.00           n/a                0.762749E-03         0.694622E-01         -2.89468             0.566327E-03      T             0.138934E-02        -0.563490             0.121030E-03      T
  252.00           n/a                0.824015E-03         0.735303E-01         -2.83156             0.590697E-03      T             0.155551E-02        -0.593426             0.121911E-03      T
  254.00           n/a                0.889999E-03         0.777640E-01         -2.76829             0.615894E-03      T             0.173958E-02        -0.621806             0.122910E-03      T
  256.00           n/a                0.961068E-03         0.821666E-01         -2.70491             0.641920E-03      T             0.194328E-02        -0.648594             0.124040E-03      T
  258.00           n/a                0.103762E-02         0.867414E-01         -2.64145             0.668778E-03      T             0.216851E-02        -0.673753             0.125311E-03      T
  260.00           n/a                0.112008E-02         0.914920E-01         -2.57797             0.696470E-03      T             0.241733E-02        -0.697245             0.126736E-03      T
  262.00           n/a                0.120893E-02         0.964222E-01         -2.51448             0.725000E-03      T             0.269200E-02        -0.719031             0.128330E-03      T
  264.00           n/a                0.130467E-02         0.101536             -2.45102             0.754371E-03      T             0.299497E-02        -0.739067             0.130108E-03      T
  266.00           n/a                0.140787E-02         0.106838             -2.38762             0.784588E-03      T             0.332893E-02        -0.757315             0.132087E-03      T
  268.00           n/a                0.151914E-02         0.112332             -2.32431             0.815657E-03      T             0.369680E-02        -0.773731             0.134284E-03      T
  270.00           n/a                0.163917E-02         0.118024             -2.26112             0.847583E-03      T             0.410179E-02        -0.788277             0.136719E-03      T
  272.00           n/a                0.176868E-02         0.123919             -2.19806             0.880376E-03      T             0.454738E-02        -0.800913             0.139414E-03      T
  274.00           n/a                0.190852E-02         0.130023             -2.13515             0.914045E-03      T             0.503740E-02        -0.811604             0.142392E-03      T
  276.00           n/a                0.205958E-02         0.136343             -2.07243             0.948601E-03      T             0.557603E-02        -0.820316             0.145678E-03      T
  278.00           n/a                0.222287E-02         0.142885             -2.00989             0.984056E-03      T             0.616788E-02        -0.827020             0.149302E-03      T
  280.00           n/a                0.239953E-02         0.149657             -1.94757             0.102043E-02      T             0.681799E-02        -0.831690             0.153292E-03      T
  282.00           n/a                0.259079E-02         0.156668             -1.88547             0.105773E-02      T             0.753190E-02        -0.834307             0.157683E-03      T
  284.00           n/a                0.279807E-02         0.163927             -1.82362             0.109598E-02      T             0.831572E-02        -0.834856             0.162511E-03      T
  286.00           n/a                0.302295E-02         0.171444             -1.76201             0.113521E-02      T             0.917620E-02        -0.833330             0.167816E-03      T
  288.00           n/a                0.326720E-02         0.179230             -1.70067             0.117543E-02      T             0.101208E-01        -0.829725             0.173644E-03      T
  290.00           n/a                0.353285E-02         0.187298             -1.63961             0.121668E-02      T             0.111577E-01        -0.824049             0.180041E-03      T
  292.00           n/a                0.382219E-02         0.195660             -1.57883             0.125899E-02      T             0.122963E-01        -0.816313             0.187064E-03      T
  294.00           n/a                0.413784E-02         0.204331             -1.51834             0.130240E-02      T             0.135465E-01        -0.806537             0.194771E-03      T
  296.00           n/a                0.448282E-02         0.213329             -1.45815             0.134694E-02      T             0.149201E-01        -0.794748             0.203229E-03      T
  298.00           n/a                0.486061E-02         0.222670             -1.39827             0.139266E-02      T             0.164296E-01        -0.780981             0.212513E-03      T
  300.00           n/a                0.527525E-02         0.232376             -1.33870             0.143961E-02      T             0.180896E-01        -0.765277             0.222704E-03      T
  302.00           n/a                0.573144E-02         0.242470             -1.27945             0.148785E-02      T             0.199164E-01        -0.747683             0.233897E-03      T
  304.00           n/a                0.623473E-02         0.252975             -1.22053             0.153744E-02      T             0.219285E-01        -0.728254             0.246196E-03      T
  306.00           n/a                0.679169E-02         0.263922             -1.16194             0.158847E-02      T             0.241469E-01        -0.707048             0.259719E-03      T
  308.00           n/a                0.741013E-02         0.275342             -1.10369             0.164100E-02      T             0.265958E-01        -0.684130             0.274603E-03      T
  310.00           n/a                0.809947E-02         0.287271             -1.04577             0.169514E-02      T             0.293033E-01        -0.659570             0.291001E-03      T
  312.00           n/a                0.887112E-02         0.299752            -0.988194             0.175100E-02      T             0.323016E-01        -0.633439             0.309092E-03      T
  314.00           n/a                0.973908E-02         0.312833            -0.930966             0.180870E-02      T             0.356286E-01        -0.605813             0.329081E-03      T
  316.00           n/a                0.107207E-01         0.326568            -0.874087             0.186838E-02      T             0.393289E-01        -0.576772             0.351209E-03      T
  318.00           n/a                0.118378E-01         0.341023            -0.817560             0.193022E-02      T             0.434557E-01        -0.546395             0.375760E-03      T
  320.00           n/a                0.131180E-01         0.356273            -0.761388             0.199441E-02      T             0.480727E-01        -0.514764             0.403069E-03      T
  322.00           n/a                0.145971E-01         0.372409            -0.705574             0.206119E-02      T             0.532575E-01        -0.481963             0.433543E-03      T
  324.00           n/a                0.163223E-01         0.389540            -0.650121             0.213084E-02      T             0.591055E-01        -0.448075             0.467673E-03      T
  326.00           n/a                0.183568E-01         0.407799            -0.595032             0.220370E-02      T             0.657362E-01        -0.413185             0.506067E-03      T
  328.00           n/a                0.207876E-01         0.427348            -0.540310             0.228019E-02      T             0.733015E-01        -0.377378             0.549488E-03      T
  330.00           n/a                0.237376E-01         0.448395            -0.485959             0.236085E-02      T             0.819987E-01        -0.340742             0.598913E-03      T
  332.00           n/a                0.273866E-01         0.471205            -0.431983             0.244634E-02      T             0.920908E-01        -0.303365             0.655620E-03      T
  334.00           n/a                0.320080E-01         0.496134            -0.378388             0.253757E-02      T             0.103939            -0.265341             0.721337E-03      T
  336.00           n/a                0.380395E-01         0.523664            -0.325182             0.263575E-02      T             0.118056            -0.226768             0.798476E-03      T
  338.00           n/a                0.462277E-01         0.554490            -0.272376             0.274261E-02      T             0.135213            -0.187761             0.890568E-03      T
  340.00           n/a                0.579596E-01         0.589667            -0.219988             0.286076E-02      T             0.156634            -0.148455             0.100311E-02      T
  342.00           n/a                0.761366E-01         0.630935            -0.168044             0.299447E-02      T             0.184457            -0.109036             0.114541E-02      T
  344.00           n/a                0.108016             0.681554            -0.116597             0.315162E-02      T             0.222944            -0.697993E-01         0.133543E-02      T
  346.00           n/a                0.178299             0.749141            -0.657707E-01         0.335045E-02      T             0.282863            -0.313671E-01         0.161659E-02      T
  348.71           n/a                 1.00000              1.00000            -0.289598E-26         0.399173E-02      F             0.574255             0.117867E-01         0.277166E-02      T
  347.82         0.300000             0.404433             0.849380            -0.204453E-01         0.362397E-02      T             0.393166             0.110645E-02         0.209210E-02      T
  347.97         0.500000             0.450113             0.862134            -0.167947E-01         0.365705E-02      T             0.409219             0.347644E-02         0.215714E-02      T
  348.06         0.700000             0.482709             0.870533            -0.146172E-01         0.367863E-02      T             0.420032             0.484860E-02         0.220039E-02      T
 #
 # Statistics      User-defined k_ij(s)        Optimized k_ij(s)
 # k_ij              See input file            0.300000E-01   0.420000E-01
 # AARD/%                93.3051                  29.7357
 # ARD/%                 93.3051                  -9.0321
 # RMSRD/%              114.5637                  31.0576
 # MARD/%               183.1267                  39.9955
 # MAD                    0.3607                   0.1546
 # RMSD                   0.3924                   0.1782
